id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
1266,Meesho,meesho,Summer 2016,Public,Democratizing internet commerce for everyone in India,"Meesho is India’s only true online marketplace, altering the status quo to make e-commerce inclusive and accessible for the next billion users. With a vision to enable 100 million small businesses, including individual entrepreneurs, to succeed online, Meesho is democratising internet commerce and bringing a range of products and new customers online. The Meesho marketplace provides sellers access to millions of customers, selections from over 30 categories, pan-India logistics, payment services and customer support capabilities to efficiently run their businesses. 

",http://www.meesho.com,https://www.ycombinator.com/companies/meesho,"Bengaluru, KA, India",1450,B2B,B2B -> Retail,"B2B, Retail","E-commerce, Retail","India, South Asia, Remote, Partly Remote",Growth,True,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/2e219c412cfa3b69bc5211d8d7473cf06bfe6593.png,1461732013
1433,Bird,bird,Summer 2016,Active,The world’s largest omnichannel communications platform,"The world’s largest omnichannel communications platform.
 
Bird CRM powers communication between businesses and their customers — across any channel, always with the right context, and on every corner of the planet. Its products and solutions are the foundational building blocks to business communications across preferred channels, like SMS, Voice, WhatsApp, WeChat, Messenger, Email and more. Founded in 2011, Bird connects to billions of devices and is trusted by nearly 20,000 customers worldwide.
 
Headquartered in Amsterdam, Bird operates across nine global hubs — including Singapore, Dublin, Shanghai, Sydney, London, Bogota and Asuncion — and is proud to be a “Work Anywhere” company. Its team of 500 employees represent more than 55 nationalities.",http://bird.com,https://www.ycombinator.com/companies/bird,"Amsterdam, NH, Netherlands",500,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Messaging, API","Netherlands, Europe, Remote, Partly Remote",Growth,True,False,False,MessageBird,https://bookface-images.s3.amazonaws.com/small_logos/bdee5b69dd38909ad07702b3aebc29f8d5880658.png,1465405816
1270,The Athletic,the-athletic,Summer 2016,Acquired,Subscription sports media.,"The Athletic is a direct-to-consumer digital sports media company committed to helping subscribers experience storytelling in a whole new way. Founded in 2016 and headquartered in San Francisco, The Athletic has over 600 full-time employees and covers more than 250 professional sports and collegiate teams in the US, Canada and the UK. The Athletic’s newsroom has produced thousands of in-depth articles along with more than 120 podcasts and premium video content. The Athletic is a remote-friendly company as we have offices in San Francisco, Los Angeles, London, and Melbourne.",https://theathletic.com,https://www.ycombinator.com/companies/the-athletic,"San Francisco, CA, USA",600,Consumer,Consumer -> Content,"Consumer, Content",Media,"United States of America, America / Canada, Remote, Partly Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/7f6b19c9a7bb7ba979f8935bcd2e5bd32b954069.png,1461732014
1352,Proxy,proxy,Summer 2016,Acquired,Smart ring digital wallet,"We're building a mobile and wearable digital wallet that makes interacting with payments, identity, and authentication seamless, fun, and empowering.

Acquired by OURA in 2023",https://proxy.com,https://www.ycombinator.com/companies/proxy,"San Francisco, CA, USA; Remote",20,Consumer,Consumer -> Consumer Electronics,"Consumer, Consumer Electronics","Hard Tech, Hardware, Consumer, Identity","United States of America, America / Canada, Remote, Fully Remote",Growth,True,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/190493234a6fff12dbec698756a71b558faa2267.png,1465054211
1294,Scale AI,scale-ai,Summer 2016,Active,Data-centric infrastructure to accelerate the development of AI ,"Scale accelerates the development of AI within organizations of any size to deliver critical business insights and operational efficiency. Its data-centric infrastructure platform leverages RLHF (Reinforced Learning with Human Feedback) to help organizations build the strongest AI models that supercharge their business, with customers across industries including Meta, Microsoft, U.S. Army, DoD’s Defense Innovation Unit, Open AI, General Motors, Toyota Research Institute, Brex, Instacart and Flexport.",http://scale.com,https://www.ycombinator.com/companies/scale-ai,"San Francisco, CA, USA",500,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Artificial Intelligence, Machine Learning","United States of America, America / Canada, Remote, Partly Remote",Growth,True,True,False,"Ava, Scale",https://bookface-images.s3.amazonaws.com/small_logos/8c45a78eb56f4a95e41a3a77960b00fdfb4cd918.png,1461817215
1347,Expo,expo,Summer 2016,Active,Expo brings together the best of web and native app development,"Expo lets developers write apps that are written in JavaScript and run natively on Android, iOS, and the web. Our cloud services that work with all Expo and React Native apps, named Expo Application Services (EAS), further speeds up teams by helping them get to the app stores as fast as possible and continue growing.

We believe that mobile apps provide a better experience than websites, but making apps is much more difficult than it needs to be. With Expo, we're bringing together the best of the web, like its development speed, fast iteration cycles, easy deploys, and automatic cross-platform support, and the performance, device capabilities, and user experience of native apps.",https://expo.dev,https://www.ycombinator.com/companies/expo,"San Francisco, CA, USA; Palo Alto, CA, USA",40,B2B,B2B -> Infrastructure,"B2B, Infrastructure",Developer Tools,"United States of America, America / Canada, Remote, Partly Remote",Growth,False,False,False,Exponent,https://bookface-images.s3.amazonaws.com/small_logos/3628951a3d0760d9fcc3099d4360ec712d6f72b3.png,1464792613
1344,Elemeno Health,elemeno-health,Summer 2016,Active,Just-in-time training and communication for frontline healthcare teams,"Healthcare is delivered by teams – nurses, doctors, and staff, specific to each hospital, clinic, and department. They want to do their best, but cannot keep up with constantly changing information. Burnout >50%. Unprecedented turnover. Growing medical errors (the #3 cause of death in the US). $100B+ in waste.

Elemeno Health is a UCSF and Y Combinator-backed B2B SaaS for healthcare facilities– “a playbook in your pocket,” customized to support frontline teams with bite-sized training and communication at their fingertips, accessible 24/7 on any device. Our efficacy is demonstrated in our published results, passionate clients, and consistent renewals. 20x ROI. 75% decrease in medical errors.",http://elemenohealth.com,https://www.ycombinator.com/companies/elemeno-health,"San Francisco, CA, USA; Oakland, CA, USA",25,Healthcare,Healthcare -> Healthcare IT,"Healthcare, Healthcare IT","SaaS, Digital Health, Healthcare","United States of America, America / Canada, Remote, Partly Remote",Growth,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/28c54dbde31eabb779e90782aab189b88b7e3fdd.png,1464187811
1343,Suiteness,suiteness,Summer 2016,Active,Book guaranteed connecting rooms and suites at hotels,Suiteness is the first online booking platform with access to an inventory of thousands of exclusive luxury hotel suites. Suiteness is carving a niche for itself in the international travel industry as the leading website dedicated solely to luxury suites and finding success with group travelers and families looking for a nice place to stay together.,https://www.suiteness.com,https://www.ycombinator.com/companies/suiteness,"San Francisco, CA, USA; Oakland, CA, USA; Remote",7,Consumer,"Consumer -> Travel, Leisure and Tourism","Consumer, Travel, Leisure and Tourism",,"United States of America, America / Canada, Remote, Fully Remote",Growth,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/3f70de4698d4f75b37db5be4368b74b4349e7c27.png,1464114009
1340,Jumpcut,jumpcut,Summer 2016,Active,Helping creators go viral and build businesses.,We help aspiring creators go viral and monetize their content. ,http://www.jumpcut.com,https://www.ycombinator.com/companies/jumpcut,"Los Angeles, CA, USA",11,Education,Education,Education,"eLearning, Social Media, Video","United States of America, America / Canada",Early,False,False,False,,/company/thumb/missing.png,1464099611
1339,Quero Education,quero-education,Summer 2016,Active,Quero is an online marketplace for college programs in Brazil. It…,"Quero is an online marketplace for college programs in Brazil. It helps students search, compare and enroll in programs in over 1200 partner colleges, saving money on tuition.

Follow Us:
facebook.com/queroedu
instagram.com/queroedu
twitter.com/queroedu
quero.education/carreiras",http://querobolsa.com.br,https://www.ycombinator.com/companies/quero-education,"São José dos Campos, SP, Brazil",200,Education,Education,Education,"Education, Marketplace","Brazil, Latin America",Growth,False,False,False,RedeAlumni,https://bookface-images.s3.amazonaws.com/small_logos/d4e1c3aae8d76a69c4187a8a792adde071ff038c.png,1464099610
