id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
30565,Cohesive,cohesive,Spring 2025,Active,The agentic CRM for blue-collar services,"Cohesive is the agentic CRM for blue collar businesses like janitorial, pressure washing, landscaping, HVAC, and pest control businesses. Cohesive fully automates sales and marketing outreach to local businesses and property owners in the service area, helping local service businesses grow even while servicing clients in the field.",https://getcohesiveai.com,https://www.ycombinator.com/companies/cohesive,"New York City, NY, USA",2,B2B,B2B,B2B,"Generative AI, SaaS, B2B, Sales, AI","United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/523af60648199cf36ae9d89c5bc46aa1a1dd11e5.png,1747185757
30562,Docket,docket,Spring 2025,Active,AI agents for web testing,Docket lets you write end-to-end tests in plain English and keeps them up to date automatically—powered by real user sessions.,https://docketqa.com,https://www.ycombinator.com/companies/docket,"San Francisco, CA, USA",2,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Artificial Intelligence, Developer Tools, B2B, Enterprise Software","United States of America, America / Canada",Early,False,False,False,"Sonata, Docket, docket",https://bookface-images.s3.amazonaws.com/small_logos/aa849f70a991d46ed789deab2ddee170d952bc14.png,1747107485
30561,Sureform,sureform,Spring 2025,Active,Real-world data and RL environments for frontier AI,We build post-training datasets and RL environments grounded in real enterprise workflows to advance frontier agents.,https://www.sureformhq.com/,https://www.ycombinator.com/companies/sureform,"San Francisco, CA, USA",2,B2B,B2B,B2B,"Marketplace, Robotics, Data Labeling, AI","United States of America, America / Canada",Early,False,False,False,"Valora, Daxa",https://bookface-images.s3.amazonaws.com/small_logos/aa0aa8a269ab91daa7f1007cbe3b7c767e28dc44.png,1744274885
30560,Foundation Industries,foundation-industries,Spring 2025,Active,We supply hard tech companies with critical components.,"For the first time in decades, fast, flexible domestic production can be economically superior. We’re rebuilding America’s productive edge through low-volume, high-mix manufacturing, helping hard-tech teams prototype faster, launch sooner, and build more here.

If you want to restore American productive power and ship real hardware, reach out.

jakob@foundation-industries.com",https://www.foundation-industries.com/,https://www.ycombinator.com/companies/foundation-industries,"San Francisco, CA, USA",5,Industrials,Industrials,Industrials,"Manufacturing, Industrial","United States of America, America / Canada",Early,False,True,False,"Sava Robotics, SAVA Robotics, SAVA",https://bookface-images.s3.amazonaws.com/small_logos/c9c4d6c7b4eeb36609b87bd95a70ffca51164330.png,1746512449
30559,Godela,godela,Spring 2025,Active,AI Physics Engine to replace simulations and prototypes,"What if every experiment you wanted to run could be modeled using AI? 
Godela is an AI-powered physics engine that gives engineers faster, cheaper replacement to simulations and physical prototypes.
No set up, no wait. Just ask—and get simulation quality result.
",http://godela.ai,https://www.ycombinator.com/companies/godela,"San Francisco, CA, USA",10,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Artificial Intelligence, Hard Tech, Hardware, Aerospace, ML","United States of America, America / Canada",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/fe1589548b774d33ca4f20c5020467a9627f9c13.png,1747413596
30557,Aegis,aegis,Spring 2025,Active,AI Agents to win denied health insurance claims.,"Aegis is the all-in-one platform that helps healthcare providers recover lost revenue by automating insurance denial appeals—from intake to resolution. Built for billing teams, healthcare providers and hospitals.",https://aegishealth.us/,https://www.ycombinator.com/companies/aegis,"San Francisco, CA, USA",3,Healthcare,Healthcare -> Healthcare IT,"Healthcare, Healthcare IT",,"United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/36103b40de751e5ec5889840f60eec43dc493e69.png,1745980735
30556,Cascade Space,cascade-space,Spring 2025,Active,Commercial alternative to the Deep Space Network,"Cascade Space is building the commercial alternative to the Deep Space Network. Our first ground station, Earth Station Zero, will be online and downlinking data from the Moon in 2026, with plans to scale to a full global network by 2028.",https://cascadespace.com,https://www.ycombinator.com/companies/cascade-space,"San Francisco, CA, USA",7,Industrials,Industrials -> Aviation and Space,"Industrials, Aviation and Space","Hard Tech, Hardware, SaaS, Aerospace, Industrial","United States of America, America / Canada",Early,False,True,False,Heliosphere Network Corporation,https://bookface-images.s3.amazonaws.com/small_logos/36e55270dbc5bebe580db836e83f643f2121440a.png,1746647881
30554,Bond,bond,Spring 2025,Active,Your AI Chief of Staff,"Bond is an AI Chief of Staff that gives CEOs and busy executives real-time visibility into what’s happening across the company and tells them what to focus on. Saving execs 10+ hours a week.
",https://www.bondapp.io/,https://www.ycombinator.com/companies/bond,"San Francisco, CA, USA",3,B2B,B2B -> Productivity,"B2B, Productivity","B2B, Workflow Automation, Productivity, AI Assistant","United States of America, America / Canada",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/f4056bd531497eb8c59fcb550011c9196adad6a6.png,1748290714
30553,Blueshoe,blueshoe,Spring 2025,Active,The AI-Native Consumer + Plaintiff Law Firm,"Blueshoe is a full-stack law firm that helps people with everything from everyday legal issues to high-stakes litigation and trial.

People can access legal guidance directly through our web app or the AI interfaces where they are already seeking answers. If representation is needed, Blueshoe attorneys handle many cases all the way to resolution, equipped with cutting-edge data, AI-native tools, and operational support.",https://blueshoe.com,https://www.ycombinator.com/companies/blueshoe,"Boston, MA, USA",2,B2B,B2B -> Legal,"B2B, Legal","Artificial Intelligence, Consumer, B2B, Legal, LegalTech","United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/7df632e4878b4cdf452b698c74d065153a45564b.png,1746075411
30552,sieve,sieveai,Spring 2025,Active,AI + human review to solve data cleaning - accessible via API or Excel,"sieve solves data cleaning for hedge funds and investment firms by letting them get clean data in four lines of code. Currently, their data pipelines have conditions that raise for human review, which literally send an email to engineers with data that needs to be reviewed. We provide an API that integrates directly into their existing pipeline - instead of raising for human review, they can send all the same information to our API and get clean, high-quality data back.

By using our AI agents built specifically for financial data collection, along with expert-in-the-loop review, we provide our clients with clean, validated data at a scale and level of quality that wasn't achievable before.",https://usesieve.com/,https://www.ycombinator.com/companies/sieveai,"New York City, NY, USA",2,B2B,B2B -> Finance and Accounting,"B2B, Finance and Accounting","Investing, Data Engineering, APIs","United States of America, America / Canada",Early,False,False,False,Sieve,https://bookface-images.s3.amazonaws.com/small_logos/459d63741f9af0815baebb98ab6c243158d589c2.png,1747624073
