id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
30131,Asha Health,asha-health,Fall 2024,Active,We help medical practices become AI-native,Asha Health is building the future of self-learning generative AI for healthcare.,https://asha.health,https://www.ycombinator.com/companies/asha-health,"New York City, NY, USA",9,Healthcare,Healthcare,Healthcare,,"United States of America, America / Canada, Remote, Partly Remote",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/f9b207807766ddb54c949c58111b8ebf208a2c53.png,1731272455
30130,Apolink,apolink,Fall 2024,Active,24/7 satellite connectivity in low Earth orbit,"Apolink is a next-generation data relay network designed to provide real-time, low-latency connectivity for satellites in low Earth orbit. By enabling efficient data aggregation and relay through our hybrid RF-optical inter-satellite link (ISL) architecture, we support scalable and resilient space infrastructure across commercial, federal, and defense applications.",https://apolink.space,https://www.ycombinator.com/companies/apolink,"San Francisco, CA, USA",7,Industrials,Industrials -> Aviation and Space,"Industrials, Aviation and Space",,"United States of America, America / Canada",Early,False,True,False,Bifrost Orbital,https://bookface-images.s3.amazonaws.com/small_logos/22c2bd83d673e7df9f3a78b87b760253845534a0.png,1727908250
30129,HumanLayer,humanlayer,Fall 2024,Active,The multiplayer control plane for your software factory,"HumanLayer is a multiplayer coding agent IDE+cloud that works seamlessly from your workstation to anywhere you want to run background agents. It brings agent sessions, plan artifacts, and code diffs together in one place for you team to collaborate and ship. It's built in composable pieces to meet software factory builders where they already are - you can BYO compute, dev environment setup, and harness, or use our full integrated stack.",https://humanlayer.com,https://www.ycombinator.com/companies/humanlayer,"San Francisco, CA, USA",2,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Artificial Intelligence, Developer Tools","United States of America, America / Canada",Early,False,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/c0e8c91e4e2daba204d6976544012b6209d006fa.png,1727921167
30127,Loombotic,loombotic,Fall 2024,Active,Wire Harnesses in as little as 7 days,Loombotic is automating wire harness manufacturing.,https://www.loombotic.com,https://www.ycombinator.com/companies/loombotic,"Toronto, ON, Canada",11,Industrials,Industrials -> Manufacturing and Robotics,"Industrials, Manufacturing and Robotics",Manufacturing,"Canada, America / Canada",Early,False,True,False,"Fabraicate, Fabricate",https://bookface-images.s3.amazonaws.com/small_logos/03e05dcd715014e7e3ce539d4aef2abf9ef621e2.png,1731992228
30126,Roundabout Technologies,roundabout-technologies,Fall 2024,Active,Software for AI-powered traffic lights,"Roundabout Technologies makes AI-powered traffic lights, allowing cities to reduce pedestrian deaths, improve traffic, and reduce resident complaints. Our founding team has experience building safety-critical embedded systems and AI at Waymo, Zoox, Google, and Verily.",https://roundabout.tech,https://www.ycombinator.com/companies/roundabout-technologies,"San Francisco, CA, USA",5,Government,Government,Government,,"United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/4966bb2facc9c59279d1337270fbdb9d4a76bb93.png,1730157813
30125,Synth,synth-3,Fall 2024,Active,Prompt and Context Optimization for Coding Agents,"Choose a coding agent harness, model, and task dataset and optimize context and prompts to get the best performance for long-horizon tasks",https://www.usesynth.ai,https://www.ycombinator.com/companies/synth-3,"San Francisco, CA, USA",2,B2B,B2B -> Infrastructure,"B2B, Infrastructure","Reinforcement Learning, AI","United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/72c8ca1f80fbcb63a0a616d53bce31153601a954.png,1729021221
30124,Careforce,careforce,Fall 2024,Active,"AI Workers for Healthcare Orgs to Find, Call & Schedule More Patients.","Careforce builds AI Workers for healthcare orgs to take on coordination burden from staff and reduce time of care by autonomously identifying and outreaching patients (through phone, text, email, & mail) to schedule visits, book screenings, complete pre-post, and onboard. 

These agents require no integration, can navigate all tools, speak 29 languages, come with 50+ outreach scripts and have a remarkable 80% conversation-to-booking closing rate.",https://careforce.ai/,https://www.ycombinator.com/companies/careforce,"San Francisco, CA, USA",9,Healthcare,Healthcare -> Healthcare IT,"Healthcare, Healthcare IT","Health Tech, Healthcare, Healthcare IT, Call Center, AI","United States of America, America / Canada, Remote, Partly Remote",Early,False,True,False,"Helpcare AI, Careforce (prev. Helpcare AI)",https://bookface-images.s3.amazonaws.com/small_logos/f6784593709cc6c24d2c3397f86bf70db9efc63c.png,1730747199
30119,Canvas,canvas,Fall 2024,Active,Building AI systems that improve from experience.,Self-Improving AI,https://www.canvas.inc/,https://www.ycombinator.com/companies/canvas,"San Francisco, CA, USA",3,B2B,B2B,B2B,,"United States of America, America / Canada",Early,False,False,False,Iris,https://bookface-images.s3.amazonaws.com/small_logos/50c65b09c63d4db06dcd89cb26fd6622b6c3934c.png,1731558538
30118,Ember,ember,Fall 2024,Active,AI RCM. Increase net revenue by 16%. ,"Ember is rebuilding the back office of healthcare finance.

Behind every provider sits a mountain of administrative complexity, and that drag lands where it matters most: cost, capacity, and care. Ember clears it with intelligent automation, so provider groups can spend their time on patients, not paperwork.

We're reimagining how revenue moves through healthcare, and how lean teams scale without trading away quality. Our platform drops into existing provider workflows, takes the manual work off their plate, and gives leaders real-time visibility into financial and operational performance.

We're growing fast, and we're hiring sharp, resourceful people who want to build. Right now, that starts with you.",https://www.embercopilot.ai,https://www.ycombinator.com/companies/ember,"San Francisco, CA, USA",25,Healthcare,Healthcare,Healthcare,,"United States of America, America / Canada",Early,False,True,False,Ember Copilot,https://bookface-images.s3.amazonaws.com/small_logos/cc4c02e697fb21ae99bab2ac805d924074318bc8.png,1728536375
30117,Relvy AI,relvy-ai,Fall 2024,Active,AI powered debugging notebooks for incident response,"Relvy provides AI-powered debugging notebooks that help software engineers investigate and resolve incidents faster. It finds the root cause in over 70% of alerts automatically, and when it doesn’t, engineers can easily guide or correct the investigation - saving valuable time across the team.",https://www.relvy.ai,https://www.ycombinator.com/companies/relvy-ai,"San Francisco, CA, USA",3,B2B,"B2B -> Engineering, Product and Design","B2B, Engineering, Product and Design","Developer Tools, SaaS, B2B, DevOps, AI","United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/2aa06b2c04632ad68c2151cc3aac66c942a0119b.png,1729032291
