id,name,slug,batch,status,one_liner,long_description,website,ycdc_company_url,all_locations,team_size,industry,subindustry,industries,tags,regions,stage,top_company,isHiring,nonprofit,former_names,small_logo_thumb_url,launched_at
1556,Brex,brex,Winter 2017,Acquired,"Business accounts, corporate cards, and spend management software.","Brex is the AI-powered spend platform for modern companies, from startups to enterprises. Combining corporate cards, expense management, travel, business accounts, and bill pay, Brex makes it easy to control spend before it happens with unprecedented efficiency and accuracy. Our mission is to empower employees anywhere to make better financial decisions, so we designed our platform to make expenses almost effortless with unrivaled automation of manual expense work and real-time tracking. Brex supports more countries and currencies than any other spend solution. Brex has tens of thousands of customers, including some of the most successful, high-growth companies, such as DoorDash, SeatGeek, Coinbase, ScaleAI, MasterClass, Indeed, Allbirds, and Superhuman.

Brex offers:
- Corporate cards with 10-20x higher limits
- Business accounts with easy wires, same-day liquidity, fast global payments, and $6M in FDIC insurance
- Reward options that include billboards, offsites, and coaching
- Founder-friendly financial modeling tools
- Special events and masterclasses for founders
- Advanced spend management software as startups grow that includes global capabilities, travel, bill pay and more.

",https://www.brex.com,https://www.ycombinator.com/companies/brex,"San Francisco, CA, USA",1000,Fintech,Fintech -> Banking and Exchange,"Fintech, Banking and Exchange",Fintech,"United States of America, America / Canada, Remote, Partly Remote",Growth,True,False,False,Veyond,https://bookface-images.s3.amazonaws.com/small_logos/72237ca3782563f0b12ffe1fe9869d878c153ab6.png,1481770830
1480,Clipboard,clipboard,Winter 2017,Active,"Every shift, Covered.","Our Why
At Clipboard, our mission is to uplift as many communities as possible. We do this by connecting professionals with the workplaces that need amazing workers, helping people achieve financial stability for themselves and their families all across the U.S.

Our How
Clipboard is an app-based marketplace where workplaces post calls for help and workers answer. Every year, we help hundreds of thousands of workers fill millions of shifts across the U.S. We’re the leader in Long-Term Care staffing and are rapidly expanding into Home Health, Hospitals, and more.

Our Team
Founded in 2016, we are a remote-first team of over 1,000 people working to uplift communities across the country.",https://www.clipboardworks.com/careers,https://www.ycombinator.com/companies/clipboard,"San Francisco, CA, USA",1000,Consumer,Consumer,Consumer,"Marketplace, Consumer Health Services, Health Tech, Healthcare","United States of America, America / Canada, Remote, Partly Remote",Growth,True,True,False,"Twomagnets, Clipboard Health",https://bookface-images.s3.amazonaws.com/small_logos/2faf8d8d822c59f1eac78a6bce3d6ba75c760df7.png,1478221234
1543,Faire,faire,Winter 2017,Active,The global online platform empowering independent retail.,"Faire is an innovative online marketplace that uses machine learning to match local retailers with the brands and products that uniquely fit their stores. We are using the power of technology to connect brands and independent retailers from all over the world, building a thriving community of hundreds of thousands of retailers, which has resulted in over 7 million new connections to date. Faire was founded on the belief that the future of retail is local.

Our mission is to empower brands and retailers to strengthen the unique character of local communities. Our data-driven approach unburdens retailers from decades-old obstacles by helping find the right products for their shop. Plus, our straight-forward financial terms level the playing field by eliminating inventory risk and providing access to capital—key offerings previously only available to big box chains. For brands, our platform provides powerful sales, marketing, and analytics tools that simplify their business and allow them to focus on what they love: making great products.
",https://www.faire.com/,https://www.ycombinator.com/companies/faire,"San Francisco, CA, USA",900,B2B,B2B -> Retail,"B2B, Retail","Marketplace, Retail","United States of America, America / Canada, Remote, Partly Remote",Growth,True,True,False, LineFinder,https://bookface-images.s3.amazonaws.com/small_logos/3ccfa8cd66f2a1d09da157956ae8b5686f3b2fe5.png,1479418817
1451,Rippling,rippling,Winter 2017,Active,"One place to run all your HR, IT, and Finance. Globally.","Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system.

Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even third-party apps like Slack and Microsoft 365—all within 90 seconds. 

Based in San Francisco, CA, Rippling has raised $1.2B from the world’s top investors—including Kleiner Perkins, Founders Fund, Sequoia, Greenoaks and Bedrock. 
",http://rippling.com/,https://www.ycombinator.com/companies/rippling,"San Francisco, CA, USA",2500,B2B,B2B -> Human Resources,"B2B, Human Resources",HR Tech,"United States of America, America / Canada, Remote, Partly Remote",Growth,True,True,False,,https://bookface-images.s3.amazonaws.com/small_logos/2758f61527dbe7c44609bc669149123e07509b8d.png,1478140233
1581,Sigma Genetics,sigma-genetics,Winter 2017,Active,Sigma Genetics is a biotechnology company that is building…,"Sigma Genetics develops devices that can deliver DNA, RNA, and other charged molecules into cells by using magnetic fields. When compared to conventional electroporation, this technique has several key advantages, which include: the absence of arcing, the ability to scale, and the benefit of being non-invasive for in vivo applications. This platform technology can be applied to a wide range of applications- cell therapies, cancer drug delivery, DNA vaccines, biopharma manufacturing, and cosmetics.",http://www.sigmagenetics.com,https://www.ycombinator.com/companies/sigma-genetics,"Seattle, WA, USA",2,Healthcare,Healthcare -> Therapeutics,"Healthcare, Therapeutics","Biotech, Genomics","United States of America, America / Canada",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/3d163f0758d535d9b800f2a88bdefffc73c5bbe2.png,1492902064
1575,ACLU,aclu,Winter 2017,Active,Defender of rights and liberties,"The ACLU is our nation's guardian of liberty, working daily in courts, legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country. The ACLU is a nonprofit and nonpartisan organization that has grown from a roomful of civil liberties activists in 1920 to an organization of more than 500,000 members and supporters today. We handle nearly 6,000 court cases annually from our offices in almost every state.

The ACLU is supported by annual dues and contributions from its members, plus grants from private foundations and individuals. We do not receive any government funding. 

We protect:
Your First Amendment rights - freedom of speech, association and assembly; freedom of the press, and freedom of religion. 
Your right to equal protection under the law - protection against unlawful discrimination. 
Your right to due process - fair treatment by the government whenever the loss of your liberty or property is at stake. 
Your right to privacy - freedom from unwarranted government intrusion into your personal and private affairs. 
The ACLU also works to extend rights to segments of our population that have traditionally been denied their rights, including people of color; women; lesbians, gay men, bisexuals and transgender people; prisoners; and people with disabilities.",https://www.aclu.org/,https://www.ycombinator.com/companies/aclu,"New York City, NY, USA; New York, NY, USA",501,Unspecified,Unspecified,Unspecified,"Nonprofit, Legal","United States of America, America / Canada",Early,False,False,True,,https://bookface-images.s3.amazonaws.com/small_logos/cabb84499361a6851eec31b34582727ae4e362a2.png,1489978909
1564,Retool,retool,Winter 2017,Active,Build internal tools fast.,Retool is the fast way to build internal tools.,https://retool.com,https://www.ycombinator.com/companies/retool,"San Francisco, CA, USA",300,B2B,B2B -> Productivity,"B2B, Productivity",Developer Tools,"United States of America, America / Canada",Growth,False,True,False,Cashew,https://bookface-images.s3.amazonaws.com/small_logos/ecc14f4467de840a1f3cab7b6be0c2d1c0ab785c.png,1483478417
1560,Helix Nanotechnologies,helix-nanotechnologies,Winter 2017,Active,"Next-generation mRNA platform to solve cancer, COVID and climate.","Technology finds information and delivers physical products to us almost instantly. mRNA does the same for biology. At HelixNano, we see a world where treatments are cheap, progress is decentralized, and you can modify biology at the push of a button.

By focusing on mRNA improvements from first principles, we’re getting there faster than we thought. Experiments that used to take months or years can be done in weeks and cost thousands instead of millions. The rate limiting step for our progress is now scientific curiosity.

Rigid hierarchies and top-down decisions will miss the magic. Some of our most powerful technologies started out as side projects of junior team members. At HelixNano, every individual scientist can have a massive impact on the company's direction. And the more diverse our team, the faster we’ll find the really cool ideas.

We've started rolling out some of our new tech — moving a COVID-19 vaccine candidate for the immunocompromised towards the clinic, and testing an intervention with massive environmental impact. But we’re scientists at heart, and team focus is solidly on the horizon.",http://helixnano.com,https://www.ycombinator.com/companies/helix-nanotechnologies,"Boston, MA, USA; Cambridge, MA, USA",22,Healthcare,Healthcare -> Drug Discovery and Delivery,"Healthcare, Drug Discovery and Delivery","Artificial Intelligence, Biotech, Genomics, Nanotechnology","United States of America, America / Canada, Remote, Partly Remote",Growth,False,False,False,Helix Nanotechnologies,https://bookface-images.s3.amazonaws.com/small_logos/f05a634de42c2c96484608b63b33b99fd27aa56e.png,1482443417
1557,Mirror AI,mirror-ai,Winter 2017,Active,App that turns selfie photos into thousand emoji that look like you…,Mirror Emoji Keyboard by Mirror AI is an app that takes a photo of your face and creates you a set of personalized emoji. You get hundreds of them ready to be shared on messengers or social networks.,http://mirror-ai.com,https://www.ycombinator.com/companies/mirror-ai,"San Francisco, CA, USA; Remote",7,Consumer,Consumer -> Social,"Consumer, Social","Computer Vision, Entertainment","United States of America, America / Canada, Remote, Fully Remote",Early,False,False,False,,https://bookface-images.s3.amazonaws.com/small_logos/410226e6cc4a405060b8845ca57a12726472ea14.png,1481775630
1555,Dost Education,dost-education,Winter 2017,Active,Getting kids ready for school in India.,"Dost is an ed-tech nonprofit building a platform to expand access to early childhood development in low-resource settings through parent education. Our mission is to unlock children’s full potential by focusing on early learning - the time when 90% of our brains develop.
 
We believe that parents of any literacy level can play a critical role in developing their children’s school and life readiness. In India alone, there are 150 million under-resourced caregivers who can benefit from resources developed for them. That’s why our team at Dost Education - educators, entrepreneurs, and engineers - are passionate about using technology and user-centric product design to change the trajectory of families’ lives.

Since 2017, we’ve grown from a small pilot with a few hundred mothers, to reaching over 100,000 families working with state governments. Join us as we continue to innovate, grow our reach, and deepen our impact. We are supported by some of the best funders in tech and social impact space like Y Combinator, Mulago, and many others.

Dost Education values diversity. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",http://www.dosteducation.com/,https://www.ycombinator.com/companies/dost-education,"Delhi, DL, India; Remote",30,Education,Education,Education,"Education, Nonprofit, India, Data Science","India, South Asia, Remote, Fully Remote",Early,False,False,True,,https://bookface-images.s3.amazonaws.com/small_logos/f0fa55d20ad45d5a721bbcb283b5883104aecae9.png,1481769031
